grupo,rodada,data,horario_et,horario_local,estadio,cidade,home_pt,away_pt,home_team,away_team,aprov_hist_home,aprov_hist_away,diff_aprov_hist,media_gols_pro_hist_home,media_gols_pro_hist_away,diff_media_gols_pro_hist,media_gols_contra_hist_home,media_gols_contra_hist_away,diff_media_gols_contra_hist,saldo_medio_hist_home,saldo_medio_hist_away,diff_saldo_medio_hist,partidas_hist_home,partidas_hist_away,diff_partidas_hist,ranking_home,ranking_away,diff_ranking,ranking_points_home,ranking_points_away,diff_ranking_points,ranking_available_home,ranking_available_away,fase_ordinal,fase_knockout,pred_home,pred_away,resultado_previsto,prob_home_win,home_win_previsto,classificacao_prevista
Grupo A,3ª Rodada,2026-06-24,21:00,19:00,Estadio BBVA,Monterrey,África do Sul,Coreia do Sul,South Africa,South Korea,0.37037037037037035,0.2894736842105263,0.08089668615984402,1.2222222222222223,1.0263157894736843,0.19590643274853803,1.7777777777777777,2.0526315789473686,-0.2748538011695909,-0.5555555555555556,-1.0263157894736843,0.4707602339181287,9,38,-29,60.0,25.0,-35.0,1429.73,1588.66,-158.93000000000006,1,1,1,0,1.2775844269834826,1.6194751082199417,Coreia do Sul vence,0.209826970320002,0,África do Sul não vence
Grupo E,3ª Rodada,2026-06-25,16:00,16:00,Lincoln Financial Field,Filadélfia,Curaçao,Costa do Marfim,Curacao,Cote d'Ivoire,0.5,0.37037037037037035,0.12962962962962965,0.0,1.4444444444444444,-1.4444444444444444,0.0,1.5555555555555556,-1.5555555555555556,0.0,-0.1111111111111111,0.1111111111111111,0,9,-9,82.0,34.0,-48.0,1294.65,1532.98,-238.32999999999993,1,1,1,0,1.3574756086696076,2.0417652300212503,Costa do Marfim vence,0.28270074044477905,0,Curaçao não vence
Grupo E,3ª Rodada,2026-06-25,16:00,16:00,MetLife Stadium,Nova York / Nova Jersey,Equador,Alemanha,Ecuador,Germany,0.4358974358974359,0.6780626780626781,-0.24216524216524216,1.0769230769230769,2.017094017094017,-0.9401709401709402,1.0769230769230769,1.1538461538461537,-0.07692307692307687,0.0,0.8632478632478633,-0.8632478632478633,13,117,-104,23.0,10.0,-13.0,1594.78,1730.37,-135.58999999999992,1,1,1,0,0.02501928245591034,1.4498228103367052,Alemanha vence,0.035636422056540794,0,Equador não vence
Grupo F,3ª Rodada,2026-06-25,19:00,18:00,AT&T Stadium,Dallas,Japão,Suécia,Japan,Sweden,0.3333333333333333,0.47058823529411764,-0.13725490196078433,1.0,1.5686274509803921,-0.5686274509803921,1.32,1.4313725490196079,-0.1113725490196078,-0.32,0.13725490196078433,-0.45725490196078433,25,51,-26,18.0,38.0,20.0,1660.43,1514.77,145.66000000000008,1,1,1,0,1.0070587729011926,1.3054133460821284,Suécia vence,0.23231320801562183,0,Japão não vence
Grupo F,3ª Rodada,2026-06-25,19:00,18:00,Arrowhead Stadium,Kansas City,Tunísia,Holanda,Tunisia,Netherlands,0.25925925925925924,0.6242424242424243,-0.364983164983165,0.7777777777777778,1.7454545454545454,-0.9676767676767676,1.4444444444444444,0.9454545454545454,0.498989898989899,-0.6666666666666666,0.8,-1.4666666666666668,18,55,-37,44.0,7.0,-37.0,1483.05,1757.87,-274.81999999999994,1,1,1,0,0.3731826883737741,1.9819674014692923,Holanda vence,0.11687904208304811,0,Tunísia não vence
Grupo D,3ª Rodada,2026-06-25,22:00,19:00,SoFi Stadium,Los Angeles,Turquia,Estados Unidos,Turkey,USA,0.5333333333333333,0.5,0.033333333333333326,2.0,0.0,2.0,1.7,0.0,1.7,0.3,0.0,0.3,10,0,10,22.0,16.0,-6.0,1599.04,1673.13,-74.09000000000015,1,1,1,0,1.9212129531811961,1.4501516811154962,Turquia vence,0.5816914038462971,1,Turquia vence
Grupo D,3ª Rodada,2026-06-25,22:00,19:00,Levi's Stadium,Área da Baía de São Francisco,Paraguai,Austrália,Paraguay,Australia,0.4074074074074074,0.26666666666666666,0.14074074074074072,1.1111111111111112,0.85,0.2611111111111112,1.4074074074074074,1.85,-0.44259259259259265,-0.2962962962962963,-1.0,0.7037037037037037,27,20,7,40.0,27.0,-13.0,1503.5,1580.67,-77.17000000000007,1,1,1,0,1.505352271481169,1.247894992608443,Paraguai vence,0.3807120946063379,0,Paraguai não vence
Grupo I,3ª Rodada,2026-06-26,15:00,15:00,Gillette Stadium,Boston,Noruega,França,Norway,France,0.375,0.6027397260273972,-0.22773972602739723,0.875,1.8630136986301369,-0.9880136986301369,1.0,1.1643835616438356,-0.1643835616438356,-0.125,0.6986301369863014,-0.8236301369863014,8,73,-65,31.0,1.0,-30.0,1550.94,1877.32,-326.3799999999999,1,1,1,0,0.42217282728793903,1.810497099914039,França vence,0.09173687528091234,0,Noruega não vence
Grupo I,3ª Rodada,2026-06-26,15:00,15:00,BMO Field,Toronto,Senegal,Iraque,Senegal,Iraq,0.5,0.0,0.5,1.3333333333333333,0.3333333333333333,1.0,1.4166666666666667,1.3333333333333333,0.08333333333333348,-0.08333333333333333,-1.0,0.9166666666666666,12,3,9,14.0,57.0,43.0,1688.99,1447.14,241.8499999999999,1,1,1,0,2.3989638313581323,0.7595019178991225,Senegal vence,0.5935679272209339,1,Senegal vence
Grupo G,3ª Rodada,2026-06-26,23:00,20:00,Lumen Field,Seattle,Egito,Irã,Egypt,Iran,0.09523809523809523,0.24074074074074073,-0.1455026455026455,0.7142857142857143,0.7222222222222222,-0.007936507936507908,1.7142857142857142,1.7222222222222223,-0.00793650793650813,-1.0,-1.0,0.0,7,18,-11,29.0,21.0,-8.0,1563.24,1615.3,-52.059999999999945,1,1,1,0,1.2493669314501208,1.6246018592020555,Irã vence,0.30867623930603827,0,Egito não vence
Grupo G,3ª Rodada,2026-06-26,23:00,20:00,BC Place,Vancouver,Nova Zelândia,Bélgica,New Zealand,Belgium,0.16666666666666666,0.49019607843137253,-0.32352941176470584,0.6666666666666666,1.3529411764705883,-0.6862745098039217,2.3333333333333335,1.4509803921568627,0.8823529411764708,-1.6666666666666667,-0.09803921568627451,-1.5686274509803921,6,51,-45,85.0,9.0,-76.0,1281.57,1734.71,-453.1400000000001,1,1,1,0,0.34923592866695596,2.3589028571429456,Bélgica vence,0.0708005912662961,0,Nova Zelândia não vence
Grupo H,3ª Rodada,2026-06-26,20:00,19:00,NRG Stadium,Houston,Cabo Verde,Arábia Saudita,Cape Verde,Saudi Arabia,0.5,0.24561403508771928,0.2543859649122807,0.0,0.7368421052631579,-0.7368421052631579,0.0,2.3157894736842106,-2.3157894736842106,0.0,-1.5789473684210527,1.5789473684210527,0,19,-19,69.0,61.0,-8.0,1366.13,1421.43,-55.299999999999955,1,1,1,0,1.7278957404961834,1.4482700225862701,Cabo Verde vence,0.3261536722657986,0,Cabo Verde não vence
Grupo H,3ª Rodada,2026-06-26,20:00,18:00,Estadio Akron,Guadalajara,Uruguai,Espanha,Uruguay,Spain,0.5084745762711864,0.5373134328358209,-0.028838856564634474,1.5084745762711864,1.6119402985074627,-0.10346572223627626,1.2881355932203389,1.1194029850746268,0.16873260814571212,0.22033898305084745,0.4925373134328358,-0.2721983303819884,59,67,-8,17.0,2.0,-15.0,1673.07,1876.4,-203.33000000000015,1,1,1,0,0.594132378720164,0.9260433177051943,Espanha vence,0.18666306873371957,0,Uruguai não vence
Grupo L,3ª Rodada,2026-06-27,17:00,17:00,MetLife Stadium,Nova York / Nova Jersey,Panamá,Inglaterra,Panama,England,0.0,0.527027027027027,-0.527027027027027,0.6666666666666666,1.4054054054054055,-0.7387387387387389,3.6666666666666665,0.918918918918919,2.7477477477477477,-3.0,0.4864864864864865,-3.4864864864864864,3,74,-71,33.0,4.0,-29.0,1540.64,1825.97,-285.3299999999999,1,1,1,0,0.010292751869359185,2.2323645904238063,Inglaterra vence,0.04069444944639489,0,Panamá não vence
Grupo L,3ª Rodada,2026-06-27,17:00,17:00,Lincoln Financial Field,Filadélfia,Croácia,Gana,Croatia,Ghana,0.6111111111111112,0.37777777777777777,0.2333333333333334,1.4333333333333333,1.2,0.2333333333333334,1.1,1.5333333333333334,-0.43333333333333335,0.3333333333333333,-0.3333333333333333,0.6666666666666666,30,15,15,11.0,74.0,63.0,1717.07,1346.31,370.76,1,1,1,0,2.1794495302177426,0.8565656831259789,Croácia vence,0.6315367470588599,1,Croácia vence
Grupo J,3ª Rodada,2026-06-27,22:00,21:00,Arrowhead Stadium,Kansas City,Argélia,Áustria,Algeria,Austria,0.3076923076923077,0.45977011494252873,-0.15207780725022102,1.0,1.4827586206896552,-0.48275862068965525,1.4615384615384615,1.6206896551724137,-0.15915119363395225,-0.46153846153846156,-0.13793103448275862,-0.32360742705570295,13,29,-16,28.0,24.0,-4.0,1564.26,1593.45,-29.190000000000055,1,1,1,0,1.1994906915272272,1.7089485434337284,Áustria vence,0.306206666536913,0,Argélia não vence
Grupo J,3ª Rodada,2026-06-27,22:00,21:00,AT&T Stadium,Dallas,Jordânia,Argentina,Jordan,Argentina,0.5,0.6401515151515151,-0.14015151515151514,0.0,1.7272727272727273,-1.7272727272727273,0.0,1.1477272727272727,-1.1477272727272727,0.0,0.5795454545454546,-0.5795454545454546,0,88,-88,63.0,3.0,-60.0,1391.45,1874.81,-483.3599999999999,1,1,1,0,0.08969964359953697,1.9358194022093418,Argentina vence,0.039065133416476064,0,Jordânia não vence
Grupo K,3ª Rodada,2026-06-27,19:30,19:30,Hard Rock Stadium,Miami,Colômbia,Portugal,Colombia,Portugal,0.4393939393939394,0.5619047619047619,-0.12251082251082251,1.4545454545454546,1.7428571428571429,-0.2883116883116883,1.3636363636363635,1.1714285714285715,0.19220779220779205,0.09090909090909091,0.5714285714285714,-0.48051948051948046,22,35,-13,13.0,5.0,-8.0,1693.09,1763.83,-70.74000000000001,1,1,1,0,1.1274118129113369,1.610012929041046,Portugal vence,0.3276772455675114,0,Colômbia não vence
Grupo K,3ª Rodada,2026-06-27,19:30,19:30,Mercedes-Benz Stadium,Atlanta,RD Congo,Uzbequistão,DR Congo,Uzbekistan,0.0,0.5,-0.5,0.0,0.0,0.0,4.666666666666667,0.0,4.666666666666667,-4.666666666666667,0.0,-4.666666666666667,3,0,3,46.0,50.0,4.0,1478.35,1465.34,13.009999999999991,1,1,1,0,0.9921017777788679,2.401575031599826,Uzbequistão vence,0.19672713882478285,0,RD Congo não vence
